dwc:scientificName,gbif:canonicalName,coreid,dwc:basisOfRecord,dwc:catalogNumber,dwc:collectionCode,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:coordinateUncertaintyInMeters,dwc:county,idigbio:eventDate,idigbio:dataQualityScore,dwc:eventDate,dwc:fieldNumber,idigbio:flags,dwc:genus,idigbio:geoPoint,dwc:institutionCode,dwc:locality,evelation,dwc:recordNumber,dwc:verbatimEventDate,dwc:verbatimLocality
chlorodrepanis virens,chlorodrepanis virens,503a9b32-610a-4fd7-a8cf-a1ac4e618b8a,preservedspecimen,mvz:bird:118723,bird,collector(s): paul h. baldwin,,,1463.0,hawaii county,1948-10-03T19:48:00-03:00,0.4492753623188406,1948-10-03/1948-10-03,,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]",chlorodrepanis,"{""lat"": 19.4246406555, ""lon"": -155.2819976806}",mvz,"n rim kilauea crater, kau",1219.0,paul h. baldwin 336,3 oct 1948,"n rim kilauea crater, kau"
himatione sanguinea,himatione sanguinea,54559537-09a8-4b0b-9f03-2dd49d76e3bf,preservedspecimen,mvz:bird:118906,bird,collector(s): paul h. baldwin,,,1463.0,hawaii county,1949-03-27T19:49:00+00:00,0.4492753623188406,1949-03-27/1949-03-27,,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]",himatione,"{""lat"": 19.4246406555, ""lon"": -155.2819976806}",mvz,n rim kilauea crater,1227.0,paul h. baldwin 662,27 mar 1949,n rim kilauea crater
drepanis coccinea,vestiaria coccinea,2ffbb77f-d479-484c-950a-cc9383bc9265,preservedspecimen,105157,kuo,"huber, l.",,,11215.047831,,1967-01-23T00:00:00+00:00,0.2463768115942029,1967-01-23,lnh 1713,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonid_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_multimedia_added"", ""dwc_country_replaced"", ""dwc_scientificnameauthorship_added"", ""dwc_continent_replaced"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_genus_replaced""]",vestiaria,"{""lat"": 22.1083333, ""lon"": -159.5583333}",ku,"kauai, alakai swamp",,,23 january 1967,
loxops caeruleirostris,loxops caeruleirostris,271f713e-4a4a-4c0c-9c6f-6aeb63f6798e,preservedspecimen,105202,kuo,"huber, l.",,,11215.047831,,1966-09-05T00:00:00+00:00,0.2608695652173913,1966-09-05,lnh 1546,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonid_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_multimedia_added"", ""dwc_country_replaced"", ""dwc_scientificnameauthorship_added"", ""dwc_continent_replaced"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added""]",loxops,"{""lat"": 22.1083333, ""lon"": -159.5583333}",ku,"kauai, alakai swamp",,,05 september 1966,
haemorhous mexicanus,haemorhous mexicanus,ae059d21-accd-45fb-9ac0-a4986dfb7e3f,preservedspecimen,228426,birds,"hill, geoffrey e",,,989.0,hawaii,1990-05-29T00:00:00+00:00,0.2318840579710145,1990-05-29,,"[""dwc_stateprovince_replaced"", ""dwc_taxonrank_replaced"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""gbif_vernacularname_added"", ""idigbio_isocountrycode_added"", ""dwc_infraspecificepithet_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonomicstatus_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added"", ""gbif_reference_added"", ""dwc_continent_replaced""]",haemorhous,"{""lat"": 19.751477, ""lon"": -155.524915}",ummz,"mauna kea state rec area, near pohakalon (captive)",,gh 307,,
magumma parva,magumma parva,1a1fded0-6c6c-45f7-a7a3-6cf20f5ba852,preservedspecimen,dmns:bird:37878,bird,collector(s): marilyn allison; preparator(s): mary kay waddington,,,2000.0,kauai county,1978-03-20,0.42028985507246375,1978-03-20/1978-03-20,,"[""geopoint_datum_error"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]",magumma,"{""lat"": 22.146895, ""lon"": -159.663464}",dmns,"nu&#39;alolo, awa&#39;awapuhi trail, hawaiian islands, kauai",,,20 march 1978,nuololo; awaawapuhi trail
himatione sanguinea,himatione sanguinea,8a78d2b7-976f-4eca-ada2-19d15a9b7fb6,preservedspecimen,105166,kuo,"huber, l.",,,11215.047831,,1966-09-04T00:00:00+00:00,0.2608695652173913,1966-09-04,lnh 1579,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonid_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_multimedia_added"", ""dwc_country_replaced"", ""dwc_scientificnameauthorship_added"", ""dwc_continent_replaced"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added""]",himatione,"{""lat"": 22.1083333, ""lon"": -159.5583333}",ku,"kauai, alakai swamp",,,04 september 1966,
himatione sanguinea,himatione sanguinea,dbe1a45d-5d6e-4a72-b66f-6b88c428e734,preservedspecimen,105173,kuo,"huber, l.",,,11215.047831,,1967-01-22T00:00:00+00:00,0.2608695652173913,1967-01-22,lnh 1575,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonid_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_multimedia_added"", ""dwc_country_replaced"", ""dwc_scientificnameauthorship_added"", ""dwc_continent_replaced"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added""]",himatione,"{""lat"": 22.1083333, ""lon"": -159.5583333}",ku,"kauai, alakai swamp",,,22 january 1967,
drepanis coccinea,vestiaria coccinea,aa557bc0-038f-47c1-9e12-747d276a2be7,preservedspecimen,uaz-018290,ornithology,charles van riper iii | 198,iiwi,"[""Iiwi""]",,hawaii,1971-04-18T00:00:00+00:00,0.3188405797101449,1971-04-18,,"[""dwc_multimedia_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_replaced"", ""gbif_reference_added"", ""dwc_originalnameusageid_added"", ""dwc_genus_replaced""]",vestiaria,"{""lat"": 20.045668, ""lon"": -155.695736}",uaz,2.2 nw kamuela,,,18 april 1971,united states of america | hawaii | hawaii | 2.2 nw kamuela
chlorodrepanis virens,chlorodrepanis virens,36b317d8-b0f0-43f9-ba9c-f5a036cbbaaa,preservedspecimen,uaz-018310,ornithology,charles van riper iii | ew viii-16,hawaii amakihi,"[""Hawaii Amakihi""]",,hawaii,1980-12-23T00:00:00+00:00,0.34782608695652173,1980-12-23,,"[""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_replaced"", ""gbif_reference_added"", ""dwc_originalnameusageid_added""]",chlorodrepanis,"{""lat"": 19.83667, ""lon"": -155.59806}",uaz,"puu laau, 2290 m",,,23 december 1980,"united states of america | hawaii | hawaii | puu laau, 2290 m"
chlorodrepanis virens,chlorodrepanis virens,e7e73019-61ce-4e6e-a73d-5cf652f831bb,preservedspecimen,uaz-018279,ornithology,charles van riper iii | 746,hawaii amakihi,"[""Hawaii Amakihi""]",,hawaii,1975-05-04T00:00:00+00:00,0.34782608695652173,1975-05-04,,"[""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_replaced"", ""gbif_reference_added"", ""dwc_originalnameusageid_added""]",chlorodrepanis,"{""lat"": 19.83667, ""lon"": -155.59806}",uaz,"puu laau, 7000'",,,4 may 1975,"united states of america | hawaii | hawaii | puu laau, 7000'"
carpodacus mexicanus frontalis,haemorhous mexicanus frontalis,641040d4-7e4c-4239-a9bc-363f603fb085,preservedspecimen,156613,birds,"baker, a j",,,175.144889,hawaii county,1991-07-28T00:00:00+00:00,0.3188405797101449,1991-07-28,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_vernacularname_added"", ""idigbio_isocountrycode_added"", ""dwc_family_replaced"", ""dwc_scientificnameauthorship_added"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_country_replaced"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added""]",haemorhous,"{""lat"": 20.0119444, ""lon"": -155.6752778}",rom,"near humu'ula, parker ranch, on mauna kea, hawaii island",,ajb 5686,19910728,"near humu'ula, parker ranch, on mauna kea, hawaii island"
psittirostra psittacea,psittirostra psittacea,bd38d2ab-f1ab-44ca-8b32-8e868d04c21c,preservedspecimen,62804,birds,"henshaw, h w",,,575.179836,hawaii county,1898-06-16T00:00:00+00:00,0.30434782608695654,1898-06-16,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""gbif_vernacularname_added"", ""idigbio_isocountrycode_added"", ""dwc_family_replaced"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_country_replaced"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""dwc_originalnameusageid_added"", ""gbif_canonicalname_added""]",psittirostra,"{""lat"": 19.2077778, ""lon"": -155.7430556}",rom,"keau, hawaii island",,jhf 12985,18980616,"keau, hawaii island"
psittirostra,psittirostra,829d9580-4bce-4748-a267-c1adcd909d64,preservedspecimen,62823,birds,"palmer, h c",,,87816,hawaii county,,0.3188405797101449,,,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""gbif_canonicalname_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_taxonid_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_taxonomicstatus_added"", ""dwc_parentnameusageid_added""]",psittirostra,"{""lat"": 19.5953659, ""lon"": -155.4261626}",rom,hawaii island,,jhf 12923,,hawaii island
loxops virens,chlorodrepanis virens,6b4056f9-c8e7-4ec3-a89b-060dbc0feb5f,preservedspecimen,62735,birds,"henshaw, h w",,,12865,hawaii county,1899-01-08T00:00:00+00:00,0.37681159420289856,1899-01-08,,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""gbif_taxon_corrected"", ""dwc_taxonid_added"", ""dwc_parentnameusageid_added""]",chlorodrepanis,"{""lat"": 19.5248472, ""lon"": -155.1969909}",rom,"'ola'a forest reserve, hawaii island",,jhf 12990,18990108,"'ola'a forest reserve, hawaii island"
vestiaria coccinea,vestiaria coccinea,de57f97c-94b7-4095-9ccd-32323430bd47,preservedspecimen,75725,orn,titian r. peale,,,347215.10572,,,0.21739130434782608,,,"[""geopoint_datum_error"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_replaced"", ""gbif_vernacularname_added"", ""dwc_parentnameusageid_added"", ""idigbio_isocountrycode_added"", ""dwc_family_replaced"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_multimedia_added"", ""dwc_originalnameusageid_added"", ""gbif_canonicalname_added"", ""dwc_continent_replaced""]",vestiaria,"{""lat"": 20.88033, ""lon"": -157.04823}",mcz,[no specific locality data],,,[no verbatim date data],"pacific ocean, usa, hawaii"
himatione sanguinea sanguinea,himatione sanguinea,9455429a-b9e9-4eb1-b116-e44336d4f96c,preservedspecimen,115055,orn,milton j. flood,,,347215.10572,maui,1895-01-07T00:00:00+00:00,0.2753623188405797,1895-01-07,,"[""geopoint_datum_error"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""gbif_vernacularname_added"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_multimedia_added"", ""dwc_originalnameusageid_added"", ""gbif_canonicalname_added"", ""gbif_taxon_corrected"", ""idigbio_isocountrycode_added"", ""dwc_family_replaced"", ""dwc_parentnameusageid_added"", ""dwc_continent_replaced""]",himatione,"{""lat"": 20.88033, ""lon"": -157.04823}",mcz,,,,7/1/1895,"pacific ocean, usa, hawaii"
himatione sanguinea sanguinea,himatione sanguinea,0040578c-34cd-42d5-87f3-6cbea44c30bf,preservedspecimen,55629,orn,milton j. flood,,,347215.10572,maui,1895-01-29T00:00:00+00:00,0.2753623188405797,1895-01-29,,"[""geopoint_datum_error"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""gbif_vernacularname_added"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_multimedia_added"", ""dwc_originalnameusageid_added"", ""gbif_canonicalname_added"", ""gbif_taxon_corrected"", ""idigbio_isocountrycode_added"", ""dwc_family_replaced"", ""dwc_parentnameusageid_added"", ""dwc_continent_replaced""]",himatione,"{""lat"": 20.88033, ""lon"": -157.04823}",mcz,,,,29/1/1895,"pacific ocean, usa, hawaii"
loxioides,loxioides,13136533-55df-4551-b332-8794352211c3,preservedspecimen,271622,orn,henry c. palmer,,,347215.10572,,1891-10-13T00:00:00+00:00,0.37681159420289856,1891-10-13,,"[""geopoint_datum_error"", ""idigbio_isocountrycode_added"", ""dwc_continent_replaced"", ""taxon_match_failed""]",loxioides,"{""lat"": 20.88033, ""lon"": -157.04823}",mcz,hawaii,,,13 oct. 91,hawaii
loxioides,loxioides,ba5c2ed2-ec52-42f9-8761-af664913a60b,preservedspecimen,134725,orn,robert cyril layton perkins,,,48015.168004,hawaii,1892-07-25T00:00:00+00:00,0.391304347826087,1892-07-25,,"[""geopoint_datum_error"", ""idigbio_isocountrycode_added"", ""dwc_continent_replaced"", ""taxon_match_failed""]",loxioides,"{""lat"": 19.4834, ""lon"": -155.83637}",mcz,kona,,,25/7/1892,"pacific ocean, usa, hawaii, kona"
hemignathus virens,chlorodrepanis virens,30f79b27-d7d7-448b-82f5-8ee55e1f9ce8,preservedspecimen,7319,birds,"miller, l. m.",,,,honolulu,1903-04-03T00:00:00+00:00,0.3188405797101449,1903-04-03,,"[""geopoint_datum_error"", ""geopoint_low_precision"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""gbif_vernacularname_added"", ""idigbio_isocountrycode_added"", ""dwc_scientificnameauthorship_added"", ""dwc_genus_replaced"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added""]",chlorodrepanis,"{""lat"": 21.5, ""lon"": -158.1666667}",ucla,waianae mtns; leilehua ranch,,44,03 apr 1903,npo | usa | hi | oahu is | hawaiian is | waianae mtns; leilehua ranch
himatione sanguinea,himatione sanguinea,0beb8d38-8ec3-46f9-a72a-a70a3e9148cb,preservedspecimen,105165,kuo,"huber, l.",,,11215.047831,,1966-09-04T00:00:00+00:00,0.2608695652173913,1966-09-04,lnh 1581,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonid_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_multimedia_added"", ""dwc_country_replaced"", ""dwc_scientificnameauthorship_added"", ""dwc_continent_replaced"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added""]",himatione,"{""lat"": 22.1083333, ""lon"": -159.5583333}",ku,"kauai, alakai swamp",,,04 september 1966,
loxops maculata,paroreomyza maculata,ee73eba5-fa80-4317-a4c7-10aa62d67159,preservedspecimen,62755,birds,"palmer, h c",,,87816,hawaii county,1891-09-26T00:00:00+00:00,0.43478260869565216,1891-09-26,,"[""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]",paroreomyza,"{""lat"": 19.5953659, ""lon"": -155.4261626}",rom,hawaii island,,jhf 12909,18910926,hawaii island
hemignathus obscurus procerus,akialoa stejnegeri,3c1c8f60-a1d9-4e67-aed7-dc2ea066f281,preservedspecimen,62758,birds,"palmer, h c",,,53568,kauai county,1891-01-20T00:00:00+00:00,0.3333333333333333,1891-01-20,,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_specificepithet_replaced"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_taxonid_added"", ""dwc_parentnameusageid_added""]",akialoa,"{""lat"": 22.0041103, ""lon"": -159.7594606}",rom,kauai island,,jhf 12901,18910120,kauai island
carpodacus mexicanus frontalis,haemorhous mexicanus frontalis,d48b4027-227f-41a7-99de-bf985d3d9592,preservedspecimen,155095,birds,"baker, a j",,,10558402,honolulu county,1991-07-26T00:00:00+00:00,0.3188405797101449,1991-07-26,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_vernacularname_added"", ""idigbio_isocountrycode_added"", ""dwc_family_replaced"", ""dwc_scientificnameauthorship_added"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_country_replaced"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added""]",haemorhous,"{""lat"": 21.347857, ""lon"": -157.721308}",rom,"waimanola, oahu island",,ajb 5665,19910726,"waimanola, oahu island"
carpodacus mexicanus frontalis,haemorhous mexicanus frontalis,770aae95-0f81-482b-801e-03cec5c13650,preservedspecimen,155074,birds,"baker, a j",,,41587619,honolulu county,1991-07-25T00:00:00+00:00,0.3188405797101449,1991-07-25,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_vernacularname_added"", ""idigbio_isocountrycode_added"", ""dwc_family_replaced"", ""dwc_scientificnameauthorship_added"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_country_replaced"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added""]",haemorhous,"{""lat"": 21.270949, ""lon"": -157.818825}",rom,"honolulu, honolulu zoo, oahu island",,ajb 5649,19910725,"honolulu, honolulu zoo, oahu island"
carpodacus mexicanus frontalis,haemorhous mexicanus frontalis,b89cfc3b-7ae4-4165-a440-4bed4b60a631,preservedspecimen,156607,birds,"baker, a j",,,175.144889,hawaii county,1991-07-28T00:00:00+00:00,0.3188405797101449,1991-07-28,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_vernacularname_added"", ""idigbio_isocountrycode_added"", ""dwc_family_replaced"", ""dwc_scientificnameauthorship_added"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_country_replaced"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added""]",haemorhous,"{""lat"": 20.0119444, ""lon"": -155.6752778}",rom,"near humu'ula, parker ranch, on mauna kea, hawaii island",,ajb 5680,19910728,"near humu'ula, parker ranch, on mauna kea, hawaii island"
